"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YNL036W",-3.42556797420176,4.81106501868566,268.881173807303,1.44812531816697e-10,3.50572250937116e-08,"NCE103"
"YKR097W",-4.11446257268042,4.27852841240306,265.060536289388,1.61446012592749e-10,3.69953436631458e-08,"PCK1"
"YFR015C",-4.11124419675442,3.48488923916781,263.718125947899,1.66106966878349e-10,3.69953436631458e-08,"GSY1"
"YOL126C",3.30385759379406,3.34390460255835,256.320964450934,2.00348655494154e-10,4.29054351458251e-08,"MDH2"
"YPL106C",-3.19250589673425,6.18387464548659,252.237569041431,2.21972369193217e-10,4.57756352469567e-08,"SSE1"
"YKR075C",-3.27228166963828,4.07348594331756,245.366223880736,2.67366244010602e-10,5.08318238474049e-08,NA
"YOR247W",-3.65181191300892,3.50169189528876,245.24403658532,2.69189487476016e-10,5.08318238474049e-08,"SRL1"
"YER103W",-4.58292562980116,6.25486077461472,244.434387313819,2.73878361246794e-10,5.08318238474049e-08,"SSA4"
"YHR087W",-3.93425418942792,4.66425471685424,241.561003541715,2.96692935465041e-10,5.32898795054628e-08,"RTC3"
"YOL128C",3.48906481190668,3.34981795321085,228.857665159537,4.27377077811257e-10,7.26753300597768e-08,"YGK3"
"YGR088W",4.2155520679279,5.13674781404668,228.444861142348,4.30726632897384e-10,7.26753300597768e-08,"CTT1"
"YBL049W",2.94747443523593,4.06014170947169,224.596706344673,4.81818069659576e-10,7.89047944666035e-08,"MOH1"
"YKR069W",-2.75656370069293,2.95650129511724,215.131543620706,6.42370822468468e-10,1.02192021128698e-07,"MET1"
"YEL071W",7.33400292043139,3.74015379411364,156.501248564234,7.1049889160451e-10,1.05343125914126e-07,"DLD3"
"YGR125W",2.50633678124456,5.53229720449454,211.455475143068,7.17896782893123e-10,1.05343125914126e-07,NA
"YKL001C",-3.64126976189425,3.4395236466872,211.519969361985,7.18936563350717e-10,1.05343125914126e-07,"MET14"
"YHR174W",3.0243482337252,6.25959655922361,202.631949818715,9.51665058342002e-10,1.33998225311346e-07,"ENO2"
"YNL277W",-3.1670002233672,4.70018862825638,202.294054572738,9.62630928960818e-10,1.33998225311346e-07,"MET2"
"YJR010W",-2.98463521405494,2.90284191410021,199.507024834206,1.05837320302625e-09,1.43732243767077e-07,"MET3"
"YAL038W",2.79681863917124,6.73523984009026,197.345191320317,1.13300223103064e-09,1.50203724342348e-07,"CDC19"
"YLR303W",-3.36423590893253,5.88151719520923,195.398432061191,1.20971122879065e-09,1.56437437383824e-07,"MET17"
"YML058W-A",-4.96863439367892,0.780241221064158,177.933185344283,1.24903091269818e-09,1.56437437383824e-07,"HUG1"
"YFR030W",-3.36440517886804,5.05346168365326,194.102224961819,1.26431118575288e-09,1.56437437383824e-07,"MET10"
"YHL021C",-2.70987920488745,3.95088759466359,189.750792484671,1.46895143875839e-09,1.74304786350775e-07,"AIM17"
"YBR117C",-2.92780648868464,3.46523563091348,190.161729494788,1.47132272961322e-09,1.74304786350775e-07,"TKL2"
"YGR201C",3.18938137431025,3.03742667780925,181.277973704563,2.0005487909067e-09,2.32063659745177e-07,NA
"YPL111W",-2.79823267394396,2.96891564739773,178.351848647565,2.21209563241136e-09,2.5136629553605e-07,"CAR1"
