"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YER103W",6.70673384094711,6.25486077461472,247.732756223265,2.50429713938931e-10,5.36304864312295e-08,"SSA4"
"YGR043C",5.05660267510356,4.22411854254285,243.643594511184,2.8014154263235e-10,5.77714114584046e-08,"NQM1"
"YJL052W",-7.6172487961934,9.48741303530679,242.177064332014,2.912756530603e-10,5.79222441514197e-08,"TDH1"
"YFR030W",5.72095198279228,5.05346168365326,240.179154019527,3.07986108053408e-10,5.91333327462543e-08,"MET10"
"YLL026W",6.37489268757694,8.13799843025267,233.219536295038,3.7446533008539e-10,6.88996164831814e-08,"HSP104"
"YPL056C",6.13685544567371,2.425198881006,232.797860157338,3.8360059464415e-10,6.88996164831814e-08,"LCL1"
"YGR060W",-4.96497067708726,4.7236803306078,230.116456247237,4.09694382865953e-10,7.12868226186757e-08,"ERG25"
"YNL277W",5.16579327313341,4.70018862825638,228.04514981792,4.35035214344015e-10,7.34023052565902e-08,"MET2"
"YPL106C",4.49381933910436,6.18387464548659,213.640311989678,6.70596925079488e-10,1.09820108201253e-07,"SSE1"
"YER067W",6.15372922249322,6.38739615189776,210.012537319571,7.51153664250587e-10,1.19497817215636e-07,"RGI1"
"YMR145C",4.03352251729372,4.60592472008506,208.076399987037,7.99254216914618e-10,1.22264722202372e-07,"NDE1"
"YKL001C",5.40225520505113,3.4395236466872,207.647007301639,8.12463132451108e-10,1.22264722202372e-07,"MET14"
"YFR015C",5.22707784366731,3.48488923916781,200.753696007056,1.01920399238966e-09,1.41769531679017e-07,"GSY1"
"YJL212C",-7.90223719296898,3.69284912578783,201.689577466914,1.02557629308482e-09,1.41769531679017e-07,"OPT1"
"YDL204W",4.86610643371351,5.24183878313611,200.22329127612,1.03003889760668e-09,1.41769531679017e-07,"RTN2"
"YPL240C",6.94645851558587,8.201558451371,199.808287254295,1.04392076128586e-09,1.41769531679017e-07,"HSP82"
"YDR258C",5.45874922125328,7.22764842465509,197.510145210196,1.12672678740979e-09,1.49371779816612e-07,"HSP78"
"YCR105W",-18.8576251019304,4.92694943418396,275.788111047179,1.17542641773815e-09,1.50904077574771e-07,"ADH7"
"YGR087C",-5.74782645800762,4.64241247359549,196.020698973372,1.19248911876615e-09,1.50904077574771e-07,"PDC6"
"YJR010W",4.53191876678113,2.90284191410021,194.073939108258,1.26966725172891e-09,1.5710016128059e-07,"MET3"
"YCR012W",-6.41443644635766,8.057483884496,191.042725290823,1.40310359606478e-09,1.69836539628015e-07,"PGK1"
"YDR432W",5.00589287239811,3.62892945107129,186.237356258144,1.66128137989455e-09,1.96808823898997e-07,"NPL3"
"YHL008C",5.60530904386614,2.42789491836525,184.029225112753,1.80855337880267e-09,2.0979219194111e-07,NA
"YGL157W",-5.51442818777809,2.52935434902413,181.87908026373,1.97806402929175e-09,2.24772663573397e-07,"ARI1"
"YLR178C",4.48620994358264,5.21080368345738,180.434573781606,2.04272963416339e-09,2.27478372060436e-07,"TFS1"
"YMR175W-A",6.34224596721796,4.43818945955963,177.382320830292,2.28729969238947e-09,2.49719307592638e-07,NA
"YDR253C",7.80577212638737,3.3424724364811,172.794419930277,2.73392921918954e-09,2.830892763683e-07,"MET32"
"YDL059C",5.60244773463219,2.48969546430905,171.846273663691,2.83755803212608e-09,2.830892763683e-07,"RAD59"
"YMR280C",3.91910228920557,4.19202823090505,171.583852349549,2.83974930970572e-09,2.830892763683e-07,"CAT8"
"YHR097C",4.58285255596895,2.95404416088451,171.610103928162,2.84288435975296e-09,2.830892763683e-07,NA
"YKL032C",4.49532672354463,3.10184240859217,171.561083590277,2.84716226232485e-09,2.830892763683e-07,"IXR1"
"YJR095W",4.72764119035713,2.42198998608339,170.283524663592,3.16990106087104e-09,3.09649282577718e-07,"SFC1"
"YEL072W",-16.5065073741113,1.3091750065223,229.292922290027,3.25091549469734e-09,3.12087887490945e-07,"RMD6"
"YHR174W",-5.04513965799846,6.25959655922361,167.616236316599,3.30727078979177e-09,3.12116673856959e-07,"ENO2"
