"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YPL111W",-2.38442406785642,2.96891564739773,130.300010868982,1.68790630268171e-08,1.74041894320959e-06,"CAR1"
"YLR467W",2.67890925801714,3.02756714593941,129.799688602545,1.72962669121312e-08,1.75101116666812e-06,"YRF1-5"
"YNCH0008W",-5.19718002270493,6.87716314578191,129.113994233786,1.78419879452722e-08,1.77400337284421e-06,NA
"YDR345C",2.34674176917207,7.03956621015756,126.454362616449,2.03693693531686e-08,1.98976576418321e-06,"HXT3"
"YML128C",2.1200604038036,4.51317008415545,123.648882197547,2.35042170170828e-08,2.25640483363995e-06,"MSC1"
"YJL052W",2.70092398912583,9.48741303530679,123.198665442783,2.40486011747904e-08,2.26953578544462e-06,"TDH1"
"YJL225C",2.47560703577623,2.19203245454549,121.017766735715,2.71599988256896e-08,2.520447891024e-06,NA
"YLR346C",-2.75711956044441,1.31293011971128,119.564900801639,3.03970049188751e-08,2.77459874407044e-06,"CIS1"
"YNL030W",-2.0443600219336,5.22684706595883,117.639856550927,3.2236097144036e-08,2.89500949835472e-06,"HHF2"
"YHR055C",-5.21043810797589,5.80808943117661,116.487894361401,3.43399514128596e-08,2.99107626700835e-06,"CUP1-2"
"YKL165C",-2.44197035508015,2.63420752533645,116.505250264554,3.43801869771075e-08,2.99107626700835e-06,"MCD4"
"YNCD0034C",2.75881348964098,3.01683465637006,116.057526607269,3.52254811084608e-08,3.01746890479861e-06,NA
"YNR034W-A",-5.0391239864178,8.46577421237307,115.197237645068,3.68132053765591e-08,3.10569587176789e-06,"EGO4"
"YHR092C",2.64230699882344,3.72327321010003,114.599240537858,3.80746435143595e-08,3.15104045278004e-06,"HXT4"
"YCL025C",-3.67476418217008,5.17585054924801,114.394191520068,3.84825342652735e-08,3.15104045278004e-06,"AGP1"
"YHR054C-B",-5.29381128377177,5.82968029879886,113.87092706742,3.96458556207291e-08,3.17835545712963e-06,NA
"YMR122W-A",-2.49111453254027,4.27980728782822,113.716918499839,3.99577733475349e-08,3.17835545712963e-06,NA
"YKR009C",2.43561835803241,2.50957426331549,113.324858074243,4.09829660670064e-08,3.20317077304299e-06,"FOX2"
"YHR053C",-5.21563702831569,5.80939667831157,113.079802228966,4.14203117203835e-08,3.20317077304299e-06,"CUP1-1"
"YJL158C",-2.34991417184622,3.634230218799,112.743008501739,4.22984750185959e-08,3.22627272470606e-06,"CIS3"
"YEL077C",2.42021963541919,2.23993293198,112.321729911283,4.343738641635e-08,3.26836983197618e-06,NA
"YLR303W",-2.4636301268021,5.88151719520923,111.6100196582,4.49375091387159e-08,3.33616067845827e-06,"MET17"
"YHR052C-B",-5.31111107884419,5.8279513602602,111.30672916885,4.57646360055731e-08,3.35286175367146e-06,NA
"YLR231C",2.59126981645695,1.34789882445172,111.323664617518,4.76107114242246e-08,3.44281092480626e-06,"BNA5"
"YOR396W",2.49469628411828,2.73488430531161,110.018860938162,4.93897602179551e-08,3.5256690370971e-06,"YRF1-8"
"YKR034W",2.33222915549692,4.06064122372003,108.989514895456,5.22133505084757e-08,3.68004981811636e-06,"DAL80"
"YOL126C",1.93560887209388,3.34390460255835,108.198539959135,5.47906202039156e-08,3.81342716619253e-06,"MDH2"
"YLR216C",-2.33317335099442,3.57012914095742,107.912456174646,5.55995431539545e-08,3.82195378124961e-06,"CPR6"
"YMR118C",2.32748850184447,2.78519971100598,105.717790579238,6.33477434987534e-08,4.30146629025682e-06,"SHH3"
"YHL050C",2.2556072548186,2.81030000885245,105.446644302825,6.43750632273156e-08,4.31855845843004e-06,NA
"YMR271C",2.40841654362049,2.63792726799296,105.153504006016,6.55188372516292e-08,4.34296292639371e-06,"URA10"
"YKL071W",-3.45685851015943,4.13178594580892,104.690056230317,6.7292227530934e-08,4.40803673990871e-06,NA
"YPL201C",-4.14023332875463,1.98184045474918,102.922158892378,6.89924687872762e-08,4.46686123497155e-06,"YIG1"
"YAL012W",-2.24578671424837,2.342211991613,101.749847607646,8.05408582754888e-08,5.15461492963129e-06,"CYS3"
"YLR257W",1.78114718669275,5.01396796964537,101.434918579938,8.17779468199863e-08,5.17325070217687e-06,NA
"YER169W",1.75979092992217,3.50554758729882,101.188214407063,8.30834800162603e-08,5.17325070217687e-06,"RPH1"
"YKR076W",-2.01626347076977,3.97813183910813,101.077483174166,8.36193540222555e-08,5.17325070217687e-06,"ECM4"
"YGR296W",2.38694205364073,2.73802819151143,100.572988085066,8.65468491996945e-08,5.28475539320944e-06,"YRF1-3"
"YOR047C",2.84328856496366,2.13241597637268,100.897539162275,8.73199526176848e-08,5.28475539320944e-06,"STD1"
"YJR138W",1.83286810007048,3.73763209958905,99.670313178985,9.12565543341049e-08,5.40105760756511e-06,"IML1"
"YDL210W",3.09166850027983,2.67128370843191,99.7418536088524,9.1467763047166e-08,5.40105760756511e-06,"UGA4"
"YDL055C",-1.75303237650146,4.55698850298304,99.5080306953578,9.21516653589593e-08,5.40105760756511e-06,"PSA1"
"YJL190C",-2.10197271309063,3.09613161006929,98.8233814372551,9.62907850629163e-08,5.58486553364914e-06,"RPS22A"
"YNR067C",-2.0715594607304,3.57549000194117,98.6197735589831,9.75127135642431e-08,5.59743081572893e-06,"DSE4"
"YLR053C",2.15710248319997,2.11021175051015,97.3865587334707,1.05889151507958e-07,6.01623260812563e-06,NA
"YNL331C",-2.96885274432521,3.86700931085443,97.1458774276858,1.07487966951397e-07,6.04538383823614e-06,"AAD14"
"YPL106C",-1.89119245436415,6.18387464548659,96.6110775664987,1.10685106888323e-07,6.16294675154183e-06,"SSE1"
"YDR545W",2.44702010352507,2.75704966545685,95.1202562986958,1.22297428198924e-07,6.74209980407534e-06,"YRF1-1"
