"","logFC","logCPM","F","PValue","FDR","GeneSymbol"
"YJR094C",-3.34132741997992,0.891618768316861,111.931486414704,4.53932994520303e-08,4.55251218209281e-06,"IME1"
"YHL008C",-2.74059975759707,2.42789491836525,111.495260797577,4.5499363267904e-08,4.55251218209281e-06,NA
"YNL195C",-2.50843262247088,3.40573223437308,111.098998202295,4.63171280036865e-08,4.55251218209281e-06,NA
"YNL200C",-2.20975107830519,4.31526566921419,110.969718845303,4.66043811744415e-08,4.55251218209281e-06,"NNR1"
"YDR342C",-2.34279154181002,7.09561665219216,109.740555514075,4.99680097237857e-08,4.79692893348343e-06,"HXT7"
"YPR026W",-2.00754516551247,3.57908099309078,109.07290385296,5.19634389249069e-08,4.90393945650647e-06,"ATH1"
"YER054C",-2.3020680530816,3.68694978164147,107.587767164289,5.66308927133474e-08,5.25534684379864e-06,"GIP2"
"YKR058W",-2.97481509395013,3.20676686628026,106.8234080477,5.93014573191116e-08,5.36464970167233e-06,"GLG1"
"YDR343C",-2.3800550374032,6.9741308097868,106.662021866367,5.97356827413226e-08,5.36464970167233e-06,"HXT6"
"YJR047C",-2.97181595856998,0.975554196960582,106.285212570906,6.33894239742628e-08,5.60241766172532e-06,"ANB1"
"YNL014W",-2.59399758915288,3.16284925402802,105.227624483241,6.51285214893386e-08,5.61711744274172e-06,"HEF3"
"YFR030W",-2.35654680392424,5.05346168365326,105.090872666322,6.55733896871788e-08,5.61711744274172e-06,"MET10"
"YKL096W",-2.69492449521505,1.90060616830119,103.991541721893,7.10602324098564e-08,5.99489960694061e-06,"CWP1"
"YJL052W",2.45816240353378,9.48741303530679,102.7549294519,7.54342826231549e-08,6.2321444487815e-06,"TDH1"
"YIL119C",-2.81207470857895,4.2949872507982,102.558920381417,7.63914656861739e-08,6.2321444487815e-06,"RPI1"
"YNL277W-A",-3.30220794377292,0.611370190752012,103.222691919857,7.72302383200294e-08,6.2321444487815e-06,NA
"YDR432W",-2.3081467920225,3.62892945107129,101.956679914903,7.92722096769987e-08,6.30553804973613e-06,"NPL3"
"YNL052W",1.87786196837724,6.0397428917685,101.68048849613,8.05448911999761e-08,6.31653456621784e-06,"COX5A"
"YDL039C",2.75558133649378,2.31740917905294,102.04697946117,8.26963734687375e-08,6.3951862149157e-06,"PRM7"
"YBR054W",1.90740552717558,7.15145211032393,100.177819955205,8.83689726554983e-08,6.74025259925773e-06,"YRO2"
"YHR176W",-2.49892262639174,2.84312572644204,98.4279944894259,9.88230584975133e-08,7.43576742856965e-06,"FMO1"
"YCR091W",-2.5292612475905,2.25622845111015,98.1077759636175,1.01275147252041e-07,7.51866693199153e-06,"KIN82"
"YPL230W",-2.28623623161226,2.82677358798249,97.2680184033405,1.06378437059862e-07,7.79362023091202e-06,"USV1"
"YHR174W",2.02079142427325,6.25959655922361,96.6164623326247,1.10647430340739e-07,8.00110249528877e-06,"ENO2"
"YIR019C",-2.31014163679721,9.52624282371525,95.9247173120971,1.15671337637238e-07,8.25715394825823e-06,"FLO11"
"YGR234W",1.97311026626753,6.41479077755825,95.6677233917976,1.17608260197466e-07,8.28135864427455e-06,"YHB1"
"YMR030W",-3.21455264325899,3.03137204634805,95.5397750027679,1.1898503799245e-07,8.28135864427455e-06,"RSF1"
"YPL240C",-3.03805182323682,8.201558451371,94.2803876774591,1.28724259286549e-07,8.84860093466055e-06,"HSP82"
"YDL246C",-2.34402128953454,1.90219712808866,93.812285964058,1.33681189947772e-07,9.07727884913653e-06,"SOR2"
"YNL194C",-2.17827181444818,2.55302801608281,93.2178954361028,1.38408165798996e-07,9.19840831932504e-06,NA
"YHL016C",2.15101507005711,3.2040044808463,93.1159796473644,1.39316870050634e-07,9.19840831932504e-06,"DUR3"
"YCR092C",-2.34139820347149,1.70621171435573,93.1725777645764,1.40421104012685e-07,9.19840831932504e-06,"MSH3"
"YER038C",-1.95631098275597,1.93585493931737,92.1254769496133,1.49236415646016e-07,9.64316290564312e-06,"KRE29"
"YBR201C-A",-2.03705666702075,3.40196107188488,91.9166555611403,1.50674420400674e-07,9.64316290564312e-06,NA
"YER067W",-2.54615314221695,6.38739615189776,91.3808056438297,1.56078201391217e-07,9.8754934698443e-06,"RGI1"
"YFR022W",-2.23677771435736,1.86823124226206,91.0265102914849,1.61292280839781e-07,1.00907350529876e-05,"ROG3"
"YNL277W",-1.99879304976621,4.70018862825638,90.1110471575099,1.70148111036932e-07,1.0474294472965e-05,"MET2"
"YKL091C",-2.02863564346682,2.47449264545638,90.0534448726576,1.71185487974105e-07,1.0474294472965e-05,NA
"YIL136W",-2.22341509451084,5.31782545561144,89.3934620677109,1.78659808328221e-07,1.08128023127341e-05,"OM45"
"YFL052W",8.0812188990805,0.653562177605678,112.132724495544,1.83889976187882e-07,1.100967083241e-05,"ZNF1"
"YHR179W",1.9444145367722,5.01997236692229,88.7470120102287,1.86794715968586e-07,1.10646061543946e-05,"OYE2"
"YJR159W",-2.2495514758289,1.93302883092346,88.4985928171842,1.91149410944683e-07,1.1203367580421e-05,"SOR1"
"YDR258C",-2.26927254322671,7.22764842465509,87.3490203564766,2.05852814902076e-07,1.19394632643204e-05,"HSP78"
"YPR167C",-1.8973371376603,3.64087537376868,86.6808949691786,2.16361556428159e-07,1.24195994452782e-05,"MET16"
"YAR015W",2.12164909708762,2.774625571844,86.4556484930301,2.19695253195585e-07,1.24822772427859e-05,"ADE1"
"YDR253C",-3.44043339676079,3.3424724364811,85.8646308281187,2.29888782742738e-07,1.29295024475916e-05,"MET32"
"YKL182W",2.69576318258691,6.65799398682073,85.4274182233704,2.35833623866893e-07,1.30122405339119e-05,"FAS1"
"YCR106W",8.63513227564818,1.20531950839835,107.045352487431,2.36033817156088e-07,1.30122405339119e-05,"RDS1"
"YGR157W",2.55381621275868,4.23296322622768,85.1251263754294,2.41168822768449e-07,1.31649804428895e-05,"CHO2"
"YCR012W",2.17474757468386,8.057483884496,84.8567212126223,2.45660291909572e-07,1.32799660713835e-05,"PGK1"
"YMR250W",-1.94165769383736,3.52174219055895,83.9989500453675,2.61534424370434e-07,1.40021507201402e-05,"GAD1"
"YKL085W",-2.00946617987794,6.7839352549236,83.3848663955217,2.73275034796891e-07,1.44670556135058e-05,"MDH1"
"YMR280C",-1.67141083356809,4.19202823090505,83.2539062475738,2.75984740599725e-07,1.44670556135058e-05,"CAT8"
"YBR068C",2.1443971191509,2.96863413773508,83.171655547071,2.78012742572759e-07,1.44670556135058e-05,"BAP2"
"YJL172W",2.19200568789522,5.11601078828094,82.4302876131458,2.93145249150512e-07,1.51132661784264e-05,"CPS1"
"YFR017C",-2.04834434147063,4.07364365563056,81.837389294575,3.06297684313663e-07,1.56464725344814e-05,"IGD1"
"YKR011C",-2.2390491076402,3.93875975148968,80.6846297215739,3.338918450939e-07,1.69009981225712e-05,NA
